Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"120 End Street,Doornfontein,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"39 Alexandra Street,Berea,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"42 Smith Street,Braamfontein Cemetery,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"136 Fox Street, Cnr Kruis Street,Marshallstown,Marshallstown",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Kruis and Commissioner Street,Marshallstown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Commissioner Street,Marshallstown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Allied Bank Building, Cnr Main And Harrison Street,Marshallstown,Marshallstown",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Quinn and Lilian Ngoyi Street,Newtown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Cnr Commissioner And Troye Streets,City And Suburban,City And Suburban",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Hospital Road,Parktown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"180 Commissioner Street,City and Suburban,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"9 Main Street,Ferreirasdorp,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Main and Troye Street,Marshallstown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"170 Main Street,City and Suburban,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Cnr Main and Troye Street,Marshallstown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Central and Bree Street,Oriental Plaza,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"5 Charlton Terrace,New Doornfontein,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Beacon Road and Staib Street,New Doornfontein,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Fox and Kruger Street,City and Suburban,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"1 Bynting Road,Cottesloe,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Fuller and Bezuidenhout Street,Bertrams,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 2 Riviera Road,Killarney,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"60 Riviera Road,Killarney,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 13, Killarney Shopping Centre, Riviera Road,Killarney,Killarney",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"3 Press Ave,Crown City,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Main Reef (R41) and Crownwood (M17) Road,Crown,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"High Road,Mayfair West,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"High Street,Mayfair West,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Long and Booysens Road,Booysens,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"M2 Highway,Amalgam,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"12 Booysens Road,Booysens,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
